D'Angelo										- Brown Suga
Gregory Porter							- Be good
Robert Glasper Experiment		- Somebody Else ft. Emeli Sandi
aywy											- Opiate
David Lyttle									- Lullaby For The Lost ft. Joe Lovano & Illspokinn & Homecut
Stacey Kent ft Quatuor Ebene	- I Can't Help It
Hil St Soul & Dwele					- Baby Come Over
Charles Turner							- When You're In Love
Brown Grass								- Gregory Porter
Jamie Cullum								- Too Close For Comfort
Keep Forgettin'							- Michael Mcdonald
Cecilia Stalin								- Shining Star
Lou Reed									- Walk On The Wild Side
Kurt Elling									- Stepping Out
Erykah Badu								- Afro Blue (Robert Glasper Experiment)
Ray Charles								- Hit the road Jack!
Ben Williams								- Black Villain Music
Angie Stone								- Wish I Didn't Miss You
Eddie Harris								- Lovely Is Today
Amy Winehouse							- Mr. Magic
Rejjie Snow									- All Around The World
Carmen Lundy							- Grace (ft. Simphiwe Dana)
Terri Lyne Carrington					- Come Sunday (Natalie Cole)
Lorin Cohen								- A Brighter Day
Tony Bennett, Lady Gaga			- The Lady is a Tramp
Christian Mcbride Trio				- The Lady In My Life
AR15											- Can't See Me Again (feat. Skepta, Kano & Bashy)
Adam F										- Circles
Minnie Riperton							- Inside My Love
Portishead 									- Sour Times
Ella Fitzgerald								- Get Happy
Kurt Elling									- In The Winelight
Whoopin' Blues							- Dee Dee Bridgewater
Gregory Porter							- Lonesome Lover
Dave Brubeck								- Take Five
B.B. King & Diane Schuur			- At Last
D'Angelo and The Vanguard		- Really Love
Nat King Cole								- Unforgettable
JP Cooper									- 5 More Days
Robert Glasper Experiment		- Calls ft. Jill Scott
Curtis Mayfield							- Move On Up
Mel Torme									- All That Jazz
James Torme								- Love For Sale
Prince											- If I Was Your Girlfriend
Prince											- I Feel For You
Prince											- The Most Beautiful Girl In The World
Kool & The Gang						- Summer Madness
Bobby Timmons							- So Tired
Ella Fitzgerald								- Let's Fall in Love
Otis Brown Iii & Gretchen			- You're Still The One
Diane Schuur								- It Don't Mean A Thing
Herbie Hancock & Joni Mitchell	- Summertime
Gretchen Parlato						- Holding Back The Years
The Elder Statesman					- Montreux Sunrise
Kandace Springs						- I thought it would be easier
Shola Adisa-Farrar						- Feeling Good
Robert Glasper Experiment		- Gonna Be Alright feat. Ledisi
Amy Winehouse							- You sent me flying
Miles Davis									- Summertime
Cyrille Aimée								- Off The Wall
Sergio Mendes							- Mas Que Nada	
Joss Stone								- Let the Good Times Roll
D'angelo & The Vanguard					- Betray My Heart
Esperanza Spalding						- I Can't Help It
Louis Armstrong							- Mack The Knife







